ensemble_geneid	gene_name	GuineaPig_ESF1	GuineaPig_ESF2	GuineaPig_ESF3	GuineaPig_SF1	GuineaPig_SF2	GuineaPig_SF3
ENSCPOG00000026343	C1RL	5.62087362587344	6.3965442996423	4.98968951673946	2.72278407863093	3.08093124277874	1.9959058010386
ENSCPOG00000026345		0	0	0	0	0	0
ENSCPOG00000026346		0	0	0	0	0	0
ENSCPOG00000026347	NKX2-5	0.0660338074926251	0	0	0.38384595347985	0	0.319949349935925
ENSCPOG00000026348	ROGDI	26.4029575878783	29.4777607408745	28.7776358482639	34.675945535564	21.8241965852938	28.5045784488328
ENSCPOG00000026349	RNF212B	0.0658099640773308	0	0.111313733149301	0	0	0
ENSCPOG00000026350	Gapdh	4342.54978908964	4749.76689200876	4913.62032267526	3900.4870724391	3817.1521892615	4223.55018793544
ENSCPOG00000026351		0	0	0	0	0	0
ENSCPOG00000026352	SCYL3	21.8934370982692	18.7095562895054	18.114192689311	20.3161944534871	18.2526290244435	20.1507230529286
ENSCPOG00000026353		0	0	0	0	0	0
ENSCPOG00000026355	BRMS1	28.2170212372846	24.2204078714744	29.5139124857001	37.8072723855188	38.001246172467	43.7954960377965
ENSCPOG00000026359		0.0445273839513948	0	0.225946453754876	0	0.0800305907421986	0
ENSCPOG00000026360		18.3807045325949	13.7497740297653	16.3727846713312	21.4690310255215	22.3825610702113	20.376382129249
ENSCPOG00000026361	ARHGEF17	70.2365538967916	71.3439157649157	67.8269024492132	36.5242318239235	45.461253675993	33.5650829047508
ENSCPOG00000026363		0	0	0	0	0	0
ENSCPOG00000026364	TTLL10	0	0	0	0	0	0
ENSCPOG00000026365	BUD23	23.9576273481632	21.9675003198253	22.8232625911587	30.0134867879901	32.2948975323119	36.0249353162124
ENSCPOG00000026368		0	0	0	0	0	0
ENSCPOG00000026369	CHST2	4.45206881042609	4.85738949069477	3.58003378606939	13.2578372090136	7.47714376362905	12.8484923158235
ENSCPOG00000026372		0	0	0	0	0	0
ENSCPOG00000026373	APRT	107.044815049891	122.625464927058	122.279058353837	131.711119092362	138.416665031327	137.892866795003
ENSCPOG00000026375		0	0	0	0	0	0
ENSCPOG00000026376		42.7331973702853	67.6484892965635	57.5451092047597	60.9000931916896	54.9384463767663	66.1063627856175
ENSCPOG00000026377	JUN	137.147715857225	170.961358008591	156.351522567726	204.969377272227	215.439925108987	210.221266060014
ENSCPOG00000026378		0	0	0	0	0	0.0189570957035504
ENSCPOG00000026379		0	0	0	0	0	0
ENSCPOG00000026380		0	0.0616708321572209	0.0286041387448287	0	0	0
ENSCPOG00000026381		7.15250399051723	5.79633692649253	7.48926608119178	7.58937525563959	11.0189487042954	8.98477648182641
ENSCPOG00000026382	DLK1	0.0536296668586884	0	0	0	0	0.086616122358333
ENSCPOG00000026383		0	0	0	1.20911475345615	0	0
ENSCPOG00000026384	PLCXD2	0.381913562022376	0.696374904752242	0.107664102554018	0.462502911159562	0.457617541817472	0.308410193053206
ENSCPOG00000026385	SAP30L	38.057484384937	37.9275617767106	35.9649371151469	54.6340740452401	78.09461264236	57.7330826995577
ENSCPOG00000026386		0	0	0	0	0	0
ENSCPOG00000026387	CDR2L	51.1289524790348	49.7417792956133	51.4502150428399	40.6165272067914	37.9013839053221	36.8962280525314
ENSCPOG00000026388		0	0	0	0	0	0
ENSCPOG00000026392		46.1284500301792	49.8978333697465	50.7703936542877	45.1064964913522	48.3074230222176	43.9721526945065
ENSCPOG00000026394		0	0	0	0	0	0
ENSCPOG00000026395	HIST2H2BE	0.305731329178706	0.27873273746667	0.517126791796453	0	0	0.246890049557382
ENSCPOG00000026396		4.13062540485386	3.98104903754695	3.9924074503496	3.17285431758655	2.33329308936027	2.00138529534261
ENSCPOG00000026397	TFAP2D	0	0	0	0	0	0
